"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Battle Tank","Action,Shooter,First-Person,Tactical,Modern","Battle Tank is an Action game, developed and published by Superior Software,which was released in Europe in 1984.","n/a","5.0","n/a","Superior Software","1984 ","http://www.gamefaqs.com/bbc/949667-battle-tank"
"Battle Zone 2000","Strategy,Wargame,Turn-Based","Battle Zone 2000 is a Strategy game, developed and published by MC Lothlorien,which was released in Europe in 1983.","n/a","n/a","n/a","MC Lothlorien","1983 ","http://www.gamefaqs.com/bbc/950682-battle-zone-2000"
"BBC Bonanza","Miscellaneous,Compilation","BBC Bonanza is a Miscellaneous game, developed and published by Audiogenic Ltd.,which was released in Europe in 1987.","n/a","n/a","n/a","Audiogenic Ltd.","1987 ","http://www.gamefaqs.com/bbc/951108-bbc-bonanza"
"BBC Micro","Hardware,Console","BBC Micro is a Hardware game, developed and published by Acorn Computers Ltd,which was released in Europe in 1981.","n/a","8.0","n/a","Acorn Computers Ltd","1981 ","http://www.gamefaqs.com/bbc/946854-bbc-micro"
"BC Bill","Action,General","BC Bill is an Action game, developed and published by Imagine,which was released in Europe in 1984.","n/a","n/a","n/a","Imagine","1984 ","http://www.gamefaqs.com/bbc/950229-bc-bill"
"Beach Head","Action,General","Beach Head is an Action game, developed by Access Software and published by U.S. Gold,which was released in Europe in 1984.","n/a","n/a","n/a","Access Software","1984 ","http://www.gamefaqs.com/bbc/950444-beach-head"
"Beeb Beep","Miscellaneous,Puzzle,General","Beeb Beep is a Miscellaneous game, developed and published by IJK,which was released in Europe in 1982.","n/a","n/a","n/a","IJK","1982 ","http://www.gamefaqs.com/bbc/950230-beeb-beep"
"Beeb Munch","Action,General","Beeb Munch is an Action game, developed and published by IJK,which was released in Europe in 1982.","n/a","n/a","n/a","IJK","1982 ","http://www.gamefaqs.com/bbc/951109-beeb-munch"
"Beebgammon","Miscellaneous,Board Games","Beebgammon is a Miscellaneous game, developed and published by Bug-Byte,which was released in Europe in 1982.","n/a","n/a","n/a","Bug-Byte","1982 ","http://www.gamefaqs.com/bbc/949953-beebgammon"
"Beeline","Action,General","Beeline is an Action game, developed and published by Robico,which was released in Europe in 1985.","n/a","n/a","n/a","Robico","1985 ","http://www.gamefaqs.com/bbc/950389-beeline"
"Beverly Hills Cop","Action,General","Look out, Beverly Hills, here comes Axel Foley, the hero of Beverly Hills Cop and Beverly Hills Cop II, and this time he's going to stop the crime of the year, unless an army of trigger-happy gunmen stop him first. Fast and furious action from beginning to end!","n/a","n/a","n/a","Tynesoft","1990 ","http://www.gamefaqs.com/bbc/950446-beverly-hills-cop"
"The Big KO!","Sports,Traditional,Boxing","The Big KO! is a Sports game, developed and published by Tynesoft,which was released in Europe in 1987.","n/a","n/a","n/a","Tynesoft","1987 ","http://www.gamefaqs.com/bbc/950486-the-big-ko"
