"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"American Baseball ","SA","Sports,Traditional,Baseball,Sim","Ever wanted to play in the big leagues?Now is your chance.Step up to the plate with Sega's Reggie Jackson Baseball.It's so real you'll be grabbing for the hotdogs as you hammer 'em out of the ball park!Play against the computer or with a friend.Take your pick of twenty-six American or National City teams.You can choose a mini two-out-of-three tournament, go for the Series or test your batting skills in the Home Run contest.Reggie Jackson Baseball gives you the power to select your pitchers and pitches, to bat high and low, to lead off or try to steal your way around the bases.Is there a man leading off on second?fake a pitch and catch him off base.Move fast and snatch a ground ball from the infield for a double play!When the game is over, you'll get tips from Reggie himself.Go far enough and win the Series!It's baseball action like you've never seen before, only from Sega.","n/a","5.2","n/a","Sega","1988 ","http://www.gamefaqs.com/sms/588130-reggie-jackson-baseball"
"Walter Payton Football","US","Sports,Traditional,Football,Sim","It's the snap!You sweep to the right.The quarterback hands you the ball.You head for daylight as the linemen open a hole.Suddenly, 250 lbs. of screaming tackle is heading your way.He wants to make you splat city.What will you do?This game gives you the chance to find out.With Walter Payton Football you can play against the computer, or against a friend, in a Monday Night Game or in a series on the Road to The Superbowl.Choose from 28 west, central and eastern teams.Offense and defense.Should you run or pass?Will a reverse throw 'em off guard?In the middle of a hot series, you can save your standings with a Password save.If you like football, then Sega's Walter Payton Football is the game for you!","n/a","6.4","n/a","Sega","1989 ","http://www.gamefaqs.com/sms/588033-walter-payton-football"
"American Pro Football","EU","Sports,Traditional,Football,Sim","It's the snap!You sweep to the right.The quarterback hands you the ball.You head for daylight as the linemen open a hole.Suddenly, 250 lbs. of screaming tackle is heading your way.He wants to make you splat city.What will you do?This game gives you the chance to find out.With Walter Payton Football you can play against the computer, or against a friend, in a Monday Night Game or in a series on the Road to The Superbowl.Choose from 28 west, central and eastern teams.Offense and defense.Should you run or pass?Will a reverse throw 'em off guard?In the middle of a hot series, you can save your standings with a Password save.If you like football, then Sega's Walter Payton Football is the game for you!","n/a","6.4","n/a","Sega","1989 ","http://www.gamefaqs.com/sms/588033-walter-payton-football"
"Andre Agassi Tennis","US","Sports,Traditional,Tennis","Andre Agassi's explosive forehand is yours! Be Agassi or play against Agassi. With four courts, eight exciting players each with different playing styles and an umpire who calls every shot, Andre Agassi Tennis cannot be beaten!","n/a","5.5","n/a","TecMagik","1993 ","http://www.gamefaqs.com/sms/570187-andre-agassi-tennis"
"Alex Kidd: High-Tech World","US","Action,Platformer,2D","Being the Crown Prince of Planet Aries is never easy. On top of being a galactic hero, you have to deal with parents, teachers and palace retainers! But you're a Kidd at heart, and you just have to go to the new High-Tech World video arcade to play the newest Sega games. The problem is, the map to the arcade has been torn up into 8 pieces and hidden in the castle. As you look for the pieces you'll discover just how weird life in a castle can be! If you find them, you'll have to fight your way through a forest filled with blue Ninjas. Survive this ordeal and you'll have to find a travel pass in the village to make it over the border!","3.8","5.6","","Sega","1989 ","http://www.gamefaqs.com/sms/588026-alex-kidd-high-tech-world"
"Anmitsu Hime","JP","Action,Platformer,2D","Being the Crown Prince of Planet Aries is never easy. On top of being a galactic hero, you have to deal with parents, teachers and palace retainers! But you're a Kidd at heart, and you just have to go to the new High-Tech World video arcade to play the newest Sega games. The problem is, the map to the arcade has been torn up into 8 pieces and hidden in the castle. As you look for the pieces you'll discover just how weird life in a castle can be! If you find them, you'll have to fight your way through a forest filled with blue Ninjas. Survive this ordeal and you'll have to find a travel pass in the village to make it over the border!","3.8","5.6","","Sega","1989 ","http://www.gamefaqs.com/sms/588026-alex-kidd-high-tech-world"
"Arcade Smash Hits","US","Miscellaneous,Compilation","DEFEND cities from never-ending nuclear attack in Missile Command!BASH bricks with a bat and ball in Breakout!Eradicate a garden full of mutant insects in Centipede!For the first time ever, THREE classic arcade blasts from the past are brought together in ONE cartridge for UNLIMITED playability!","n/a","7.0","n/a","Sega","1992 ","http://www.gamefaqs.com/sms/570188-arcade-smash-hits"
"Rygar","US","Action,Platformer,2D","You and Rygar, the legendary warrior of Argool, must defeat the evil king and his army of dangerous beasts. With powers and weapons from the Indora war gods, you go into battle with Rygar. It's up to you! The enemies are strong, the terrain treacherous, and the challenges difficult. The sun is setting and Rygar is depending on you. Rygar's exploits were once confined to arcades, but now he is battling the forces of evil everywhere. Join forces with Rygar!","n/a","6.3","n/a","Tecmo","Mar 25, 1988 ","http://www.gamefaqs.com/sms/570176-rygar"
"Argos no Juujiken","JP","Action,Platformer,2D","You and Rygar, the legendary warrior of Argool, must defeat the evil king and his army of dangerous beasts. With powers and weapons from the Indora war gods, you go into battle with Rygar. It's up to you! The enemies are strong, the terrain treacherous, and the challenges difficult. The sun is setting and Rygar is depending on you. Rygar's exploits were once confined to arcades, but now he is battling the forces of evil everywhere. Join forces with Rygar!","n/a","6.3","n/a","Tecmo","Mar 25, 1988 ","http://www.gamefaqs.com/sms/570176-rygar"
"Asterix and the Secret Mission","US","Action,Platformer,2D","Getafix the Druid is out of magic potion! If Caesar finds out, it's invasion for sure. Asterix and Obelix set out to find the necessary herbs. A mission through all sorts of Roman-infested terrain - seas and rivers, forests and deserts, temples and ruins.","4.0","6.7","n/a","Sega","1993 ","http://www.gamefaqs.com/sms/581785-asterix-and-the-secret-mission"
