"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Kidou Senshi Gundam Vol. 3","US","Strategy,General","Kidou Senshi Gundam Vol. 3 is a Strategy game, developed and published by Bandai,which was released in Japan in 2002.","n/a","10.0","n/a","Bandai","May 25, 2002 ","http://www.gamefaqs.com/wsc/566499-kidou-senshi-gundam-vol-3"
"Kidou Senshi Gundam Vol. 3 A Baoa Qu","JP","Strategy,General","Kidou Senshi Gundam Vol. 3 is a Strategy game, developed and published by Bandai,which was released in Japan in 2002.","n/a","10.0","n/a","Bandai","May 25, 2002 ","http://www.gamefaqs.com/wsc/566499-kidou-senshi-gundam-vol-3"
"Kidou Senshi Gundam Vol. 3","US","Strategy,General","Kidou Senshi Gundam Vol. 3 is a Strategy game, developed and published by Bandai,which was released in Japan in 2002.","n/a","10.0","n/a","Bandai","May 25, 2002 ","http://www.gamefaqs.com/wsc/566499-kidou-senshi-gundam-vol-3"
"Kidou Senshi Gundam Vol. 3 A Baoa Qu","JP","Strategy,General","Kidou Senshi Gundam Vol. 3 is a Strategy game, developed and published by Bandai,which was released in Japan in 2002.","n/a","10.0","n/a","Bandai","May 25, 2002 ","http://www.gamefaqs.com/wsc/566499-kidou-senshi-gundam-vol-3"
"Kidou Senshi Gundam: Giren no Yabou - Tokubetsu-hen Aokisei no Hasha","US","Strategy,Breeding/Constructing","Kidou Senshi Gundam: Giren no Yabou - Tokubetsu-hen Aokisei no Hasha is a Strategy game, developed by Vanguard Works and published by Bandai,which was released in Japan in 2003.","n/a","7.0","n/a","Vanguard Works","May2, 2003 ","http://www.gamefaqs.com/wsc/583206-kidou-senshi-gundam-giren-no-yabou-tokubetsu-hen"
"Kinnikuman Nisei: Choujin Seisenshi","US","Role-Playing,General","Kinnikuman Nisei: Choujin Seisenshi is a Role-Playing game, developed and published by Bandai,which was released in Japan in 2003.","n/a","n/a","n/a","Bandai","Jan 30, 2003 ","http://www.gamefaqs.com/wsc/583474-kinnikuman-nisei-choujin-seisenshi"
"Kinnikuman Nisei: Dream Tag Match","US","Action,Fighting,Wrestling","Kinnikuman Nisei: Dream Tag Match is an Action game, developed by TOSE and published by Bandai,which was released in Japan in 2002.","6.0","7.0","n/a","TOSE","Mar2, 2002 ","http://www.gamefaqs.com/wsc/567263-kinnikuman-nisei-dream-tag-match"
"Kurupara!","US","Miscellaneous,Puzzle,General","Kurupara! is a Miscellaneous game, developed and published by Tom Create,which was released in Japan in 2001.","n/a","n/a","n/a","Tom Create","Jun 14, 2001 ","http://www.gamefaqs.com/wsc/581504-kurupara"
"Last Alive","US","Adventure,General","Last Alive is an Adventure game, developed and published by Bandai,which was released in Japan in 2001.","n/a","n/a","n/a","Bandai","Jul 26, 2001 ","http://www.gamefaqs.com/wsc/581510-last-alive"
"Makai Toushi SaGa","US","Role-Playing,Console-style RPG","Makai Toushi SaGa is a Role-Playing game, developed by Aspect and published by SquareSoft,which was released in Japan in 2002.","8.0","8.0","n/a","Aspect","Mar 20, 2002 ","http://www.gamefaqs.com/wsc/566009-makai-toushi-saga"
