"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Akumajou Dracula X: Chi no Rondo","Action,General","Akumajou Dracula X: Chi no Rondo is an Action game, developed and published by Konami,which was released in Japan in 1993.","9.6","9.0","","","","http://www.gamefaqs.com/turbocd/589264-akumajou-dracula-x-chi-no-rondo"
"CD Battle Hikari no Yuushatachi","Miscellaneous,General","CD Battle Hikari no Yuushatachi is a Miscellaneous game, published by King Records,which was released in Japan in 1993.","n/a","4.0","n/a","King Records","Mar 19, 1993 ","http://www.gamefaqs.com/turbocd/589233-cd-battle-hikari-no-yuushatachi"
"Super Air Zonk","Action,Shooter,Scrolling","Super Air Zonk is an Action game, developed by Dual and published by Hudson,which was released in Japan in 1993.","n/a","7.4","","","","http://www.gamefaqs.com/turbocd/916112-super-air-zonk"
"CD Hanafuda Bishoujo Fan Club","Miscellaneous,General","CD Hanafuda Bishoujo Fan Club is a Miscellaneous game, developed and published by Games Express,which was released in Japan in 1994.","n/a","n/a","n/a","Games Express","Nov 25, 1994 ","http://www.gamefaqs.com/turbocd/719168-cd-hanafuda-bishoujo-fan-club"
"CD Mahjong Bishoujo Chuushinha","Miscellaneous,Board Games","CD Mahjong Bishoujo Chuushinha is a Miscellaneous game, developed by Bits Laboratory and published by Games Express,which was released in Japan in 1993.","n/a","n/a","n/a","Bits Laboratory","Jul 30, 1993 ","http://www.gamefaqs.com/turbocd/664549-cd-mahjong-bishoujo-chuushinha"
"Championship Rally","Driving,Racing,Arcade","Championship Rally is a Driving game, developed by Fill-In Cafe and published by Intec,which was released in Japan in 1993.","n/a","n/a","n/a","Fill-In Cafe","Aug6, 1993 ","http://www.gamefaqs.com/turbocd/589238-championship-rally"
"Chiki Chiki Boys","Action,Platformer,2D","Chiki Chiki Boys is an Action game, published by NEC Interchannel,which was released in Japan in 1994.","n/a","8.0","n/a","NEC Interchannel","Jul 15, 1994 ","http://www.gamefaqs.com/turbocd/589239-chiki-chiki-boys"
"Cho Aniki","Action,Shooter,Scrolling","Cho Aniki is an Action game, published by NCS,which was released in Japan in 1992.","8.0","7.9","","","","http://www.gamefaqs.com/turbocd/571610-cho-aniki"
"The Dynastic Hero","Role-Playing,Action RPG","The Dynastic Hero is a Role-Playing game, developed by Alfa System and published by Turbo Technologies, Inc.,which was released in 1993.","8.7","8.0","","","","http://www.gamefaqs.com/turbocd/589274-the-dynastic-hero"
"Macross 2036","Action,Shooter,Scrolling","Macross 2036 is an Action game, developed by Dual and published by NCS,which was released in Japan in 1992.","9.0","8.3","n/a","Dual","Apr3, 1992 ","http://www.gamefaqs.com/turbocd/916086-macross-2036"
